10018535,02-2023,2,Commercial,13,ROP,0,0,0,0,31845,0,0,0,0,0,0,0,31845
10018535,01-2023,2,Commercial,13,ROP,0,0,0,0,31380,0,0,0,0,0,0,0,31380
10018535,03-2023,2,Commercial,13,ROP,0,0,0,0,30201,0,0,0,0,0,0,0,30201
10018535,10-2023,2,Commercial,13,ROP,0,0,0,0,29940,0,0,0,0,0,0,0,29940
4926,11-2022,1,Government,10000164,SPL,0,0,0,5408,6054,3780,0,5184,0,9180,0,0,29606
10028160,10-2022,2,Commercial,18,BUILDERS,0,0,0,0,15562,13392,0,0,0,0,0,0,28954
10018535,11-2023,2,Commercial,13,ROP,0,0,0,0,28404,0,0,0,0,0,0,0,28404
10018535,09-2023,2,Commercial,13,ROP,0,0,0,0,27253,0,0,0,0,0,0,0,27253
10018535,04-2023,2,Commercial,13,ROP,0,0,0,0,27166,0,0,0,0,0,0,0,27166
10018535,05-2023,2,Commercial,13,ROP,0,0,0,0,26570,0,0,0,0,0,0,0,26570
10018535,06-2023,2,Commercial,13,ROP,0,0,0,0,25250,0,0,0,0,0,0,0,25250
10018535,01-2024,2,Commercial,13,ROP,0,0,0,0,24630,0,0,0,0,0,0,0,24630
10018535,07-2023,2,Commercial,13,ROP,0,0,0,120,24480,0,0,0,0,0,0,0,24600
10018535,01-2022,2,Commercial,13,ROP,0,0,0,0,24350,0,0,0,0,0,0,0,24350
10018535,08-2023,2,Commercial,13,ROP,0,0,0,0,24316,0,0,0,0,0,0,0,24316
1665,08-2022,1,Government,2,PID(I),0,216,0,4804,6258,5768,0,0,216,6368,0,0,23630
10018535,12-2023,2,Commercial,13,ROP,0,0,0,0,23514,60,0,0,0,0,0,0,23574
10018535,12-2022,2,Commercial,13,ROP,0,0,0,0,22772,0,0,0,0,0,0,0,22772
10018535,02-2024,2,Commercial,13,ROP,0,0,0,0,22692,0,0,0,0,0,0,0,22692
4927,03-2022,1,Government,2,PID(I),0,864,0,4014,6696,728,0,852,1668,6960,0,0,21782
10018535,04-2022,2,Commercial,13,ROP,0,0,0,0,21465,0,0,0,0,0,0,0,21465
4926,03-2022,1,Government,10000164,SPL,0,0,0,3918,5626,216,0,5188,0,6314,0,0,21262
4926,12-2022,1,Government,10000164,SPL,0,0,0,4644,4556,0,0,5400,0,6156,0,0,20756
10031083,02-2024,2,Commercial,10000165,Political Ad,0,0,0,3054,5645,691,0,5930,0,4862,0,0,20182
10018535,10-2022,2,Commercial,13,ROP,0,0,0,0,19743,0,0,0,0,0,0,0,19743
4926,10-2022,1,Government,10000164,SPL,0,0,0,3840,2922,3590,0,3672,0,5406,0,0,19430
1575,09-2022,1,Government,2,PID(I),0,864,0,2754,3741,6226,0,540,432,4542,0,0,19099
10018535,11-2022,2,Commercial,13,ROP,0,0,0,0,18888,0,0,0,0,0,0,0,18888
10030842,08-2023,2,Commercial,18,BUILDERS,0,696,0,1848,4536,5400,0,2448,768,2976,0,0,18672
10018535,05-2022,2,Commercial,13,ROP,0,0,0,0,18534,0,0,0,0,0,0,0,18534
10018535,02-2022,2,Commercial,13,ROP,0,0,0,0,18342,0,0,0,0,0,0,0,18342
10006694,01-2024,2,Commercial,10000165,Political Ad,0,0,0,2680,5256,5256,0,2048,30,2960,0,0,18230
10000299,02-2024,1,Government,10000164,SPL,0,0,0,0,0,18152,0,0,0,0,0,0,18152
1665,08-2023,1,Government,2,PID(I),0,552,0,2088,5664,5664,0,1536,336,2288,0,0,18128
10020098,11-2023,1,Government,10000164,SPL,0,0,0,3672,2376,4212,0,4104,0,3456,0,0,17820
10018535,09-2022,2,Commercial,13,ROP,0,0,0,0,17279,0,0,0,0,0,0,0,17279
10018535,06-2022,2,Commercial,13,ROP,0,0,0,0,16923,0,0,0,0,0,0,0,16923
